,year_month, heliofania_media, heliofania_total, pres_atm_nivel_mar, pres_atm_nivel_estacion, precip_max_24h, dia_precip_max, precip_total, dias_con_precip, viento_vel_med, viento_vel_max, humedad_relativa_media, temp_max, dia_temp_max, temp_min, dia_temp_min, media_temp_max, media_temp_min, temp_media, dias_menos_0, dias_entre_0_y_5, dias_entre_35_y_40, dias_superior_40, temp_rocio
10,2019_11,8.2,245.0,1008.5,990.0,31.6,7,137.2,10,5.2,18.5,77.7,38.0,30,15.0,16,33.7,22.3,27.2,0,0,10,0,22.6
11,2019_12,7.9,237.0,1010.1,991.6,70.0,20,142.9,8,4.5,14.8,78.3,37.4,30,14.5,6,32.1,20.5,25.7,0,0,7,0,21.3
12,2020_01,7.2,223.1,1008.9,990.3,105.6,29,298.2,12,9.6,16.6,83.9,35.2,20,20.0,5,32.4,22.9,26.9,0,0,6,0,23.8
13,2020_02,8.7,252.6,1010.9,992.2,61.4,25,67.1,4,2.3,20.3,78.9,36.0,29,12.5,22,32.4,21.7,26.3,0,0,3,0,22.1
14,2020_03,9.1,281.9,1011.3,989.4,14.7,18,25.1,3,0.8,9.2,79.0,39.0,31,15.2,21,34.0,21.3,26.9,0,0,12,0,21.2
15,2020_04,8.6,258.8,1015.4,996.3,50.0,6,91.0,5,3.0,22.2,77.2,36.4,30,8.6,15,29.2,16.2,21.8,0,0,3,0,17.3
16,2020_05,7.4,229.1,1016.4,997.1,153.1,21,231.6,6,7.5,33.3,79.3,32.0,31,6.2,8,25.3,13.5,18.5,0,0,0,0,14.5
17,2020_06,6.1,183.7,1014.1,994.9,31.9,4,96.0,9,3.2,27.7,78.3,31.6,30,5.6,3,25.5,15.0,19.6,0,0,0,0,15.4
18,2020_07,5.5,164.1,1016.0,996.6,40.0,7,49.0,4,1.6,27.7,78.0,31.8,31,3.4,3,23.8,11.8,17.3,0,5,0,0,13.1
19,2020_08,7.9,243.5,1015.4,996.2,8.7,11,22.3,3,0.7,29.6,72.2,37.0,31,2.6,21,27.1,15.4,20.0,0,2,1,0,14.2
20,2020_09,6.2,185.8,1012.9,993.9,4.0,6,5.1,3,0.2,27.7,70.9,40.5,30,8.5,4,29.4,16.1,22.1,0,0,6,1,15.9
21,2020_10,8.7,268.5,1011.4,992.6,46.8,25,65.3,3,2.1,33.3,66.8,41.0,31,13.4,10,33.2,19.4,25.3,0,0,11,2,18.1
22,2020_11,8.0,238.8,1011.3,992.6,51.0,26,129.7,10,4.3,22.2,67.7,40.4,30,14.6,6,32.4,18.7,25.4,0,0,9,1,18.1
23,2020_12,8.4,259.8,1009.4,990.8,50.4,2,177.4,9,5.7,27.7,77.0,35.5,31,17.2,22,32.3,20.8,26.0,0,0,6,0,21.4
24,2021_01,6.5,201.0,1008.6,990.0,80.0,26,220.7,15,3.6,22.2,82.2,35.2,11,17.6,19,31.7,22.2,26.1,0,0,1,0,22.7
25,2021_02,9.2,257.7,1010.4,991.7,26.6,1,50.9,4,3.7,18.5,77.3,36.4,22,15.0,19,31.8,20.1,25.5,0,0,4,0,20.9
26,2021_03,8.1,243.9,1011.1,992.2,47.0,16,156.8,10,3.7,18.5,80.7,35.0,1,16.5,11,31.0,19.8,24.4,0,0,5,0,20.7
27,2021_04,7.7,231.6,1014.2,995.3,26.6,24,80.5,6,3.9,9.3,79.0,33.6,10,10.6,29,28.6,18.0,22.5,0,0,0,0,18.5
28,2021_05,7.1,212.2,1016.3,997.0,15.0,11,40.1,4,3.8,25.9,80.3,32.0,3,6.0,24,26.0,13.7,18.8,0,0,0,0,15.1
29,2021_06,5.0,148.7,1017.9,999.0,20.0,5,56.4,10,4.2,29.6,84.1,33.0,4,0.2,29,22.7,12.3,16.9,0,2,0,0,14.0
30,2021_07,7.9,244.8,1019.4,1000.1,29.0,14,49.8,4,5.0,25.9,69.4,32.4,24,0.0,29,24.4,11.2,17.1,1,6,0,0,10.9
31,2021_08,6.8,191.1,1015.9,996.7,1.9,25,2.6,3,7.1,25.9,69.7,37.0,19,6.0,4,27.5,14.7,20.4,0,0,5,0,13.7
32,2021_09,6.4,193.4,1012.8,993.8,18.6,30,84.4,11,7.7,38.9,71.2,39.0,7,10.0,10,30.9,17.7,20.9,0,0,10,0,16.9
33,2021_10,7.0,218.1,1012.2,993.2,28.0,13,128.5,11,6.4,29.6,79.4,35.4,29,13.0,5,28.7,17.7,22.5,0,0,1,0,18.5
